"source_id","provider","dataset_version","source_url","source_page","license","coverage_id","wcs_width","wcs_height","wcs_request_url","retrieved_at_utc","cache_path","cache_sha256","cache_bytes","provider_native_resolution","native_crs","native_res_x","native_res_y","native_extent","validity_mask_rule","validity_mask_path","validity_mask_sha256","target_crs","target_res_x","target_res_y","target_extent","resample_method","processing_fingerprint","source_value_semantics","output_value_semantics","scale_factor","unit","processed_path","processed_sha256","processed_bytes","processed_min","processed_max","valid_cells","missing_cells","zero_cells","zero_fraction_valid","processing_algorithm_version","terra_version","gdal_version","proj_version","geos_version","pipeline_version","pipeline_config_sha256","raster_registry_sha256","raster_processing_code_sha256","raster_preparation_script_sha256"
"chelsa_bio05","CHELSA","2.1","https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/bioclim/bio05/1981-2010/CHELSA_bio05_1981-2010_V.2.1.tif","https://www.chelsa-climate.org/datasets/chelsa_bioclim","CC0-1.0",,,,,"2026-07-19 10:51:59 UTC","data/cache/rasters/CHELSA_bio05_1981-2010_V.2.1.tif","f0c49f19cffa994f35b207eb04197a7966d90fd575f2fe364661aa753dcdadfd",705641,"30_arcsec","EPSG:4326",0.00833333330000001,0.0083333333,"127.99985987915;143.00819315245;29.99986063115;42.00819391645",,,,"EPSG:4326",0.00833333333333333,0.00833333333333333,"128;143;30;42","bilinear","ed6095de364aea223bf4d677f04b1b08c3281406e2e2aea556c17d231d937806","mean_daily_max_temperature_warmest_month","mean_daily_max_temperature_warmest_month",1,"degree_C","data/processed/rasters/chelsa_bio05.tif","4a53e1ce38275a3ec4a7cb0154b5f526b25d39d7301e543bac7d71d540d4c9d6",1739479,9.08352851867676,32.1500015258789,2592000,0,0,0,3,"1.8.93","3.8.5","9.5.1","3.13.0",3,"c201dfe3d88a2659bc54f2e226bab0b12f486a5cfc3d3e0f079b4d6df7dfb0ae","f715a78149cd7c05e49e9676e7e6520d312018e09291d06d32a606696aab89fa","f3f7cbe05c71651ea27ea41c2bad93bc53713184b3796156bd88d19d8a63f682","a850c3dd953d831924846db8ef95fe1fba75f9ead6e324778982b1ba644e9c4a"
"chelsa_bio10","CHELSA","2.1","https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/bioclim/bio10/1981-2010/CHELSA_bio10_1981-2010_V.2.1.tif","https://www.chelsa-climate.org/datasets/chelsa_bioclim","CC0-1.0",,,,,"2026-07-19 10:52:17 UTC","data/cache/rasters/CHELSA_bio10_1981-2010_V.2.1.tif","b61014be1833e97e66b43a151c5a7f8b73673f78443a52892199eedc52d90101",693403,"30_arcsec","EPSG:4326",0.00833333330000001,0.0083333333,"127.99985987915;143.00819315245;29.99986063115;42.00819391645",,,,"EPSG:4326",0.00833333333333333,0.00833333333333333,"128;143;30;42","bilinear","251a8ff871991f332e6b8b773539fe4ccc76c5540205964691a6de09b7996a7a","mean_temperature_warmest_quarter","mean_temperature_warmest_quarter",1,"degree_C","data/processed/rasters/chelsa_bio10.tif","7a078777aae19ce789c8c42deddb3d82a2742891105dbf710af91d2924b0656c",1707357,4.78518152236938,27.4500007629395,2592000,0,0,0,3,"1.8.93","3.8.5","9.5.1","3.13.0",3,"c201dfe3d88a2659bc54f2e226bab0b12f486a5cfc3d3e0f079b4d6df7dfb0ae","f715a78149cd7c05e49e9676e7e6520d312018e09291d06d32a606696aab89fa","f3f7cbe05c71651ea27ea41c2bad93bc53713184b3796156bd88d19d8a63f682","a850c3dd953d831924846db8ef95fe1fba75f9ead6e324778982b1ba644e9c4a"
"chelsa_bio12","CHELSA","2.1","https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/bioclim/bio12/1981-2010/CHELSA_bio12_1981-2010_V.2.1.tif","https://www.chelsa-climate.org/datasets/chelsa_bioclim","CC0-1.0",,,,,"2026-07-19 10:53:41 UTC","data/cache/rasters/CHELSA_bio12_1981-2010_V.2.1.tif","e4279131e55febadf9ecdd323ac5dbb7b70a543904a0f14108276874021bbc67",1394457,"30_arcsec","EPSG:4326",0.00833333330000001,0.0083333333,"127.99985987915;143.00819315245;29.99986063115;42.00819391645",,,,"EPSG:4326",0.00833333333333333,0.00833333333333333,"128;143;30;42","bilinear","d6e44e29656451f61bae117d215e78ff2523410b5c3f012dfa360e6ec151a281","annual_precipitation","annual_precipitation",1,"kg_m-2_year-1","data/processed/rasters/chelsa_bio12.tif","4bd88abc4503553e1642b2eafaf272f3f67e60d333911913f47910d12c89b5ed",3184073,482.434631347656,10366.736328125,2592000,0,0,0,3,"1.8.93","3.8.5","9.5.1","3.13.0",3,"c201dfe3d88a2659bc54f2e226bab0b12f486a5cfc3d3e0f079b4d6df7dfb0ae","f715a78149cd7c05e49e9676e7e6520d312018e09291d06d32a606696aab89fa","f3f7cbe05c71651ea27ea41c2bad93bc53713184b3796156bd88d19d8a63f682","a850c3dd953d831924846db8ef95fe1fba75f9ead6e324778982b1ba644e9c4a"
"chelsa_bio14","CHELSA","2.1","https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/bioclim/bio14/1981-2010/CHELSA_bio14_1981-2010_V.2.1.tif","https://www.chelsa-climate.org/datasets/chelsa_bioclim","CC0-1.0",,,,,"2026-07-19 10:54:21 UTC","data/cache/rasters/CHELSA_bio14_1981-2010_V.2.1.tif","c21aeb309545f4709a0b563dceac8c9f200f2892e008fd333ee872bb23ac8a6b",1350934,"30_arcsec","EPSG:4326",0.00833333330000001,0.0083333333,"127.99985987915;143.00819315245;29.99986063115;42.00819391645",,,,"EPSG:4326",0.00833333333333333,0.00833333333333333,"128;143;30;42","bilinear","97f9ddad15038c91cbb8dd56b894b46469701139871e87e94edbcc9e3377359f","precipitation_driest_month","precipitation_driest_month",1,"kg_m-2_month-1","data/processed/rasters/chelsa_bio14.tif","03e715f3ca542473dd6cc3ba6ec0b73e8596ed796e36663f880254c873de0706",2919949,6.3000283241272,512.645263671875,2592000,0,0,0,3,"1.8.93","3.8.5","9.5.1","3.13.0",3,"c201dfe3d88a2659bc54f2e226bab0b12f486a5cfc3d3e0f079b4d6df7dfb0ae","f715a78149cd7c05e49e9676e7e6520d312018e09291d06d32a606696aab89fa","f3f7cbe05c71651ea27ea41c2bad93bc53713184b3796156bd88d19d8a63f682","a850c3dd953d831924846db8ef95fe1fba75f9ead6e324778982b1ba644e9c4a"
"chelsa_bio15","CHELSA","2.1","https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/bioclim/bio15/1981-2010/CHELSA_bio15_1981-2010_V.2.1.tif","https://www.chelsa-climate.org/datasets/chelsa_bioclim","CC0-1.0",,,,,"2026-07-19 10:54:46 UTC","data/cache/rasters/CHELSA_bio15_1981-2010_V.2.1.tif","8a5b70e72a3b76ef31e628c08b29e57332eb949106dbbefe06e5166b279e6492",722330,"30_arcsec","EPSG:4326",0.00833333330000001,0.0083333333,"127.99985987915;143.00819315245;29.99986063115;42.00819391645",,,,"EPSG:4326",0.00833333333333333,0.00833333333333333,"128;143;30;42","bilinear","0a223a543508ab78ae6261c105ec8d86b7d671077095923c7e073e5fb18dab26","precipitation_seasonality","precipitation_seasonality",1,"coefficient_of_variation","data/processed/rasters/chelsa_bio15.tif","d9daaf0487719dd979ee67852590fc6a24ba9c4453257431138914b793d3e189",1351413,15.3000001907349,98.8966369628906,2592000,0,0,0,3,"1.8.93","3.8.5","9.5.1","3.13.0",3,"c201dfe3d88a2659bc54f2e226bab0b12f486a5cfc3d3e0f079b4d6df7dfb0ae","f715a78149cd7c05e49e9676e7e6520d312018e09291d06d32a606696aab89fa","f3f7cbe05c71651ea27ea41c2bad93bc53713184b3796156bd88d19d8a63f682","a850c3dd953d831924846db8ef95fe1fba75f9ead6e324778982b1ba644e9c4a"
"chelsa_cmimean","CHELSA","2.1","https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/bioclim/cmimean/1981-2010/CHELSA_cmimean_1981-2010_V.2.1.tif","https://www.chelsa-climate.org/datasets/chelsa_climatologies","CC0-1.0",,,,,"2026-07-19 10:55:15 UTC","data/cache/rasters/CHELSA_cmimean_1981-2010_V.2.1.tif","d433c63bd9f93a8fc74f4d7ff8bd073c0424d1c596d0a9d00797056d950bada8",1116707,"30_arcsec","EPSG:4326",0.00833333330000001,0.0083333333,"127.99985987915;143.00819315245;29.99986063115;42.00819391645",,,,"EPSG:4326",0.00833333333333333,0.00833333333333333,"128;143;30;42","bilinear","013ea2e3548148ead2d2c5fb8e44a77c04d23a96e47adadfa6b99a72caa7ea73","mean_climate_moisture_index","mean_climate_moisture_index",1,"kg_m-2_month-1","data/processed/rasters/chelsa_cmimean.tif","d112d8fb672b6ca5b7c1f1e0740f76e2689f99238581e2eb201020cfa29b21e1",2068039,-45.4883003234863,728.8486328125,579087,2012913,1,1.7268562409448e-06,3,"1.8.93","3.8.5","9.5.1","3.13.0",3,"c201dfe3d88a2659bc54f2e226bab0b12f486a5cfc3d3e0f079b4d6df7dfb0ae","f715a78149cd7c05e49e9676e7e6520d312018e09291d06d32a606696aab89fa","f3f7cbe05c71651ea27ea41c2bad93bc53713184b3796156bd88d19d8a63f682","a850c3dd953d831924846db8ef95fe1fba75f9ead6e324778982b1ba644e9c4a"
"chelsa_gdd5","CHELSA","2.1","https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/bioclim/gdd5/1981-2010/CHELSA_gdd5_1981-2010_V.2.1.tif","https://www.chelsa-climate.org/datasets/chelsa_bioclim","CC0-1.0",,,,,"2026-07-19 10:53:10 UTC","data/cache/rasters/CHELSA_gdd5_1981-2010_V.2.1.tif","101b4c5b49f7dab7a4782a3b1f4fbbfb05a8859ffc518f346acaed0e98c71ea6",2486866,"30_arcsec","EPSG:4326",0.00833333330000001,0.0083333333,"127.99985987915;143.00819315245;29.99986063115;42.00819391645",,,,"EPSG:4326",0.00833333333333333,0.00833333333333333,"128;143;30;42","bilinear","de4b549970e85ee2176324bed9afee0204ed0cd16a2bc544964fb79ff58a82de","growing_degree_days_above_5C","growing_degree_days_above_5C",1,"degree_day","data/processed/rasters/chelsa_gdd5.tif","9014491c878bf88f06cc966848974b494e4b7c96ba68462e11cf1722219066a3",4326478,52.0535545349121,5991.24365234375,2592000,0,0,0,3,"1.8.93","3.8.5","9.5.1","3.13.0",3,"c201dfe3d88a2659bc54f2e226bab0b12f486a5cfc3d3e0f079b4d6df7dfb0ae","f715a78149cd7c05e49e9676e7e6520d312018e09291d06d32a606696aab89fa","f3f7cbe05c71651ea27ea41c2bad93bc53713184b3796156bd88d19d8a63f682","a850c3dd953d831924846db8ef95fe1fba75f9ead6e324778982b1ba644e9c4a"
"chelsa_vpdmean","CHELSA","2.1","https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/bioclim/vpdmean/1981-2010/CHELSA_vpdmean_1981-2010_V.2.1.tif","https://www.chelsa-climate.org/datasets/chelsa_climatologies","CC0-1.0",,,,,"2026-07-19 10:55:59 UTC","data/cache/rasters/CHELSA_vpdmean_1981-2010_V.2.1.tif","1b1fa03a42c494a61e7ffc0d9ce59a598dc2f8a0bba65ed123267e809c3e5bde",2245277,"30_arcsec","EPSG:4326",0.00833333330000001,0.0083333333,"127.99985987915;143.00819315245;29.99986063115;42.00819391645",,,,"EPSG:4326",0.00833333333333333,0.00833333333333333,"128;143;30;42","bilinear","e120854568cfb1ee705825cabc587d7f9558bbf05acf8c90b258cc6b56227c43","mean_vapour_pressure_deficit","mean_vapour_pressure_deficit",1,"Pa","data/processed/rasters/chelsa_vpdmean.tif","f4f0aec92c0546a0b17d3751a597745875f14ab7d9758b6fbcea7086fa7b42f0",4141559,202.445297241211,1058.28833007812,2592000,0,0,0,3,"1.8.93","3.8.5","9.5.1","3.13.0",3,"c201dfe3d88a2659bc54f2e226bab0b12f486a5cfc3d3e0f079b4d6df7dfb0ae","f715a78149cd7c05e49e9676e7e6520d312018e09291d06d32a606696aab89fa","f3f7cbe05c71651ea27ea41c2bad93bc53713184b3796156bd88d19d8a63f682","a850c3dd953d831924846db8ef95fe1fba75f9ead6e324778982b1ba644e9c4a"
"soilgrids_bdod_0_5cm","ISRIC SoilGrids","2.0","https://maps.isric.org/mapserv?map=/map/bdod.map","https://docs.isric.org/globaldata/soilgrids/wcs.html","CC-BY-4.0","bdod_0-5cm_mean",11000,5400,"https://maps.isric.org/mapserv?map=/map/bdod.map&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=bdod_0-5cm_mean&FORMAT=GEOTIFF_INT16&SUBSET=x(11505823.996895762,14233407.010653691)&SUBSET=y(3339584.723798207,4674913.2353571476)&SCALESIZE=x(11000),y(5400)&INTERPOLATION=NEAREST","2026-07-19 11:51:13 UTC","data/cache/rasters/soilgrids_bdod_0-5cm_mean_wcs250m.tif","3a23794bf3b91d5dd779e4ed85fec5243b6f4f15303f062c637c5c00106390ed",6273591,"250_m","+proj=igh +lon_0=0 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs",247.962092159812,247.2830576961,"11505823.9968958;14233407.0106537;3339584.72379821;4674913.23535715","soilgrids_bdod_positive_before_reprojection","data/cache/rasters/soilgrids_bdod_0-5cm_mean_wcs250m.tif","3a23794bf3b91d5dd779e4ed85fec5243b6f4f15303f062c637c5c00106390ed","EPSG:4326",0.00833333333333333,0.00833333333333333,"128;143;30;42","average","3fb21be9c873b3da77ff19eb42507588853d65350fbefc1a18e0d44f7f326a74","mean_bulk_density_0_5cm","mean_bulk_density_0_5cm",0.01,"kg_dm-3","data/processed/rasters/soilgrids_bdod_0_5cm_mean.tif","9c4b6ae6c6866206234314cf0537c508ab47f3e1b810f77e35ee63d72be4674a",1776361,0.736867845058441,1.36806166172028,529041,2062959,0,0,3,"1.8.93","3.8.5","9.5.1","3.13.0",3,"c201dfe3d88a2659bc54f2e226bab0b12f486a5cfc3d3e0f079b4d6df7dfb0ae","f715a78149cd7c05e49e9676e7e6520d312018e09291d06d32a606696aab89fa","f3f7cbe05c71651ea27ea41c2bad93bc53713184b3796156bd88d19d8a63f682","a850c3dd953d831924846db8ef95fe1fba75f9ead6e324778982b1ba644e9c4a"
"soilgrids_cfvo_0_5cm","ISRIC SoilGrids","2.0","https://maps.isric.org/mapserv?map=/map/cfvo.map","https://docs.isric.org/globaldata/soilgrids/wcs.html","CC-BY-4.0","cfvo_0-5cm_mean",11000,5400,"https://maps.isric.org/mapserv?map=/map/cfvo.map&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=cfvo_0-5cm_mean&FORMAT=GEOTIFF_INT16&SUBSET=x(11505823.996895762,14233407.010653691)&SUBSET=y(3339584.723798207,4674913.2353571476)&SCALESIZE=x(11000),y(5400)&INTERPOLATION=NEAREST","2026-07-19 12:05:21 UTC","data/cache/rasters/soilgrids_cfvo_0-5cm_mean_wcs250m.tif","8bc137e0754d2059b2283a25d173babf6ffb65fa1c8b9c7d062bc10b660ee3c6",10595159,"250_m","+proj=igh +lon_0=0 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs",247.962092159812,247.2830576961,"11505823.9968958;14233407.0106537;3339584.72379821;4674913.23535715","soilgrids_bdod_positive_before_reprojection","data/cache/rasters/soilgrids_bdod_0-5cm_mean_wcs250m.tif","3a23794bf3b91d5dd779e4ed85fec5243b6f4f15303f062c637c5c00106390ed","EPSG:4326",0.00833333333333333,0.00833333333333333,"128;143;30;42","average","605b331b04ef007303e3b4931d4e14e16a5c2330079d12263d335640814243f8","mean_coarse_fragments_0_5cm","mean_coarse_fragments_0_5cm",0.1,"percent_volume","data/processed/rasters/soilgrids_cfvo_0_5cm_mean.tif","bc980ecc875ba4811d05f471ff8483565eb888a652891158c09b1c2870690970",1871208,1.24332761764526,31.0888404846191,529041,2062959,0,0,3,"1.8.93","3.8.5","9.5.1","3.13.0",3,"c201dfe3d88a2659bc54f2e226bab0b12f486a5cfc3d3e0f079b4d6df7dfb0ae","f715a78149cd7c05e49e9676e7e6520d312018e09291d06d32a606696aab89fa","f3f7cbe05c71651ea27ea41c2bad93bc53713184b3796156bd88d19d8a63f682","a850c3dd953d831924846db8ef95fe1fba75f9ead6e324778982b1ba644e9c4a"
